word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
acceptable,3,-14.401797,-3.1432154,1,80.0,7.0,0.55,-14.4617972946167,-3.247138466316071
amusing,3,-16.402939,3.3069358,1,80.0,7.0,0.55,-16.462938842773436,3.203012738746795
anxiety,2,16.652252,6.077176,1,80.0,7.0,0.55,16.592252197265626,6.181099142509308
bothered,3,5.4654274,-10.6181,1,80.0,7.0,0.55,5.40542739868164,-10.722023214774934
calm,1,-22.889326,14.613357,6,217.5,9.5,0.76875,-22.769326095581054,14.613356590270996
calm,2,-22.889326,14.613356,9,300.0,11.0,0.9,-22.949326095581053,14.717278685050813
calm,3,-22.889326,14.613357,4,162.5,8.5,0.68125,-22.949326095581053,14.509433541816863
calmer,3,-23.498795,10.017942,1,80.0,7.0,0.55,-23.55879455566406,9.914019380134734
calming,2,-21.845478,4.6386447,1,80.0,7.0,0.55,-21.905478057861327,4.742567743736115
comfortable,2,-21.0746,7.40613,1,80.0,7.0,0.55,-21.13460021972656,7.510052885490265
comfortable,3,-21.0746,7.40613,1,80.0,7.0,0.55,-21.13460021972656,7.302206788582001
comforting,2,-14.561392,-4.0805907,2,107.5,7.5,0.59375,-14.621391830444336,-3.9766676764909357
confident,1,-19.413713,12.444457,1,80.0,7.0,0.55,-19.293713455200194,12.444457054138184
confident,3,-19.413713,12.444457,2,107.5,7.5,0.59375,-19.473713455200194,12.34053400568405
cool,2,-16.683498,-1.6478075,1,80.0,7.0,0.55,-16.743498382568358,-1.5438844304505914
distracted,1,6.104781,-10.386228,1,80.0,7.0,0.55,6.224781150817871,-10.38622760772705
distracted,2,6.104781,-10.386228,2,107.5,7.5,0.59375,6.0447811508178715,-10.282304559272918
distracted,3,6.104781,-10.386228,1,80.0,7.0,0.55,6.044781150817871,-10.490150656181184
effective,1,-9.270903,-4.863357,1,80.0,7.0,0.55,-9.150902633666993,-4.863357067108154
engaged,1,-4.898852,-9.527068,1,80.0,7.0,0.55,-4.778851871490478,-9.527068138122559
engaged,2,-4.898852,-9.527068,3,135.0,8.0,0.6375000000000001,-4.958851871490478,-9.423145089668425
engaged,3,-4.898852,-9.527068,1,80.0,7.0,0.55,-4.958851871490479,-9.630991186576692
excellent,3,-17.114422,9.255149,1,80.0,7.0,0.55,-17.17442184448242,9.151225839180144
extremely_nervous,3,18.274359,7.8955717,1,80.0,7.0,0.55,18.21435874938965,7.791648660225067
fine,3,-7.322047,-10.415743,1,80.0,7.0,0.55,-7.3820472335815435,-10.519665922599641
good,1,-17.089298,-0.29494742,1,80.0,7.0,0.55,-16.969298248291015,-0.29494741559028625
good,2,-17.089298,-0.29494742,8,272.5,10.5,0.85625,-17.149298248291014,-0.19102436713615362
good,3,-17.089298,-0.29494742,1,80.0,7.0,0.55,-17.149298248291014,-0.39887046404441884
happy,2,-21.09218,13.721221,1,80.0,7.0,0.55,-21.152180252075194,13.825144018607942
helpful,2,-12.1082,-7.325447,1,80.0,7.0,0.55,-12.168200073242188,-7.221524034065399
interesting,2,-4.153688,8.01377,2,107.5,7.5,0.59375,-4.213687953948974,8.117693151908723
less_anxious,3,13.692755,6.5273576,2,107.5,7.5,0.59375,13.632754745483398,6.423434529823456
like,1,-11.236054,-4.5709057,1,80.0,7.0,0.55,-11.116054420471192,-4.570905685424805
liked,1,-16.404081,-0.0092450045,2,107.5,7.5,0.59375,-16.28408134460449,-0.009245004504919052
liked,2,-16.404081,-0.0092450045,2,107.5,7.5,0.59375,-16.46408134460449,0.09467804394921359
little_worried,1,17.454596,0.8605908,1,80.0,7.0,0.55,17.5745955657959,0.8605908155441284
monotonous,2,-3.5736802,-13.0305195,1,80.0,7.0,0.55,-3.6336801624298096,-12.9265964370195
nervous,2,18.424885,6.115684,1,80.0,7.0,0.55,18.36488479614258,6.219607080894318
nervous,3,18.424885,6.115684,3,135.0,8.0,0.6375000000000001,18.36488479614258,6.011760983986053
peaceful,1,-19.644073,8.329411,1,80.0,7.0,0.55,-19.524073486328124,8.329410552978516
peaceful,3,-19.644073,8.329411,2,107.5,7.5,0.59375,-19.704073486328124,8.225487504524382
perfect,3,-9.426262,-3.4460292,1,80.0,7.0,0.55,-9.48626190185547,-3.549952234702912
pleasant,2,-23.011513,8.747635,3,135.0,8.0,0.6375000000000001,-23.071512756347655,8.851557936149446
positive,1,-15.441207,3.22028,2,107.5,7.5,0.59375,-15.321206932067872,3.2202799320220947
positive,2,-15.441207,3.22028,1,80.0,7.0,0.55,-15.501206932067872,3.3242029804762274
relax,1,-9.713451,-15.880761,3,135.0,8.0,0.6375000000000001,-9.593451385498048,-15.88076114654541
relaxed,1,-9.564463,-15.723864,1,80.0,7.0,0.55,-9.444462661743165,-15.72386360168457
relaxed,2,-9.564463,-15.723864,4,162.5,8.5,0.68125,-9.624462661743165,-15.619940553230437
relaxed,3,-9.564463,-15.723864,1,80.0,7.0,0.55,-9.624462661743165,-15.827786650138703
relaxing,1,-11.4772215,-15.151593,8,272.5,10.5,0.85625,-11.357221488952638,-15.151593208312988
relaxing,2,-11.4772215,-15.151593,2,107.5,7.5,0.59375,-11.537221488952637,-15.047670159858855
repetitive,2,3.6381311,-9.485341,1,80.0,7.0,0.55,3.5781311416625976,-9.381418023628386
serene,1,-14.809799,-5.230311,1,80.0,7.0,0.55,-14.689799194335938,-5.230310916900635
some_anxiety,2,14.084828,5.1690235,1,80.0,7.0,0.55,14.024828376770019,5.272946562248078
tiresome,2,-4.2183776,-14.842977,1,80.0,7.0,0.55,-4.278377590179443,-14.739053521675261
trust,2,-11.781141,-0.6561565,1,80.0,7.0,0.55,-11.84114128112793,-0.5522334318582147
trust,3,-11.781141,-0.6561565,1,80.0,7.0,0.55,-11.84114128112793,-0.76007952876648
tune_out,2,-12.173208,-13.107366,2,107.5,7.5,0.59375,-12.233208236694336,-13.003442559761199
useful,1,-10.881341,-6.085153,1,80.0,7.0,0.55,-10.761340980529786,-6.085153102874756
useful,2,-10.881341,-6.085153,1,80.0,7.0,0.55,-10.941340980529786,-5.981230054420624
valuable,2,-12.173575,4.8146873,1,80.0,7.0,0.55,-12.233575401306153,4.91861030049881
very relaxing,3,-22.89915,5.95014,1,80.0,7.0,0.55,-22.95915084838867,5.846216950935516
very_nervous,3,17.531483,6.2866197,2,107.5,7.5,0.59375,17.471482696533204,6.182696614784393
zen,1,-6.3027554,-6.370442,1,80.0,7.0,0.55,-6.182755355834961,-6.370441913604736
