Participant,condition,word,projection_fear_vs_calm
15,1,little_worried,0.39822715520858765
15,1,calm,-0.46901002526283264
15,1,relaxing,-0.46485188603401184
15,1,confident,-0.1589718759059906
15,1,positive,-0.1933232694864273
38,1,calm,-0.46901002526283264
38,1,serene,-0.48217537999153137
38,1,calm,-0.46901002526283264
38,1,relax,-0.42130178213119507
38,1,zen,-0.3664111793041229
19,2,calm,-0.46901002526283264
19,2,good,-0.2546485960483551
19,2,relaxed,-0.4319731295108795
19,2,engaged,0.03427945077419281
19,2,happy,-0.17933759093284607
19,2,calm,-0.46901002526283264
8,2,cool,-0.3219994604587555
8,2,useful,-0.12080752104520798
8,2,interesting,0.06779412180185318
8,2,good,-0.2546485960483551
7,2,relaxed,-0.4319731295108795
7,2,good,-0.2546485960483551
7,2,tune_out,-0.3293183743953705
7,2,interesting,0.06779412180185318
3,3,acceptable,-0.2328091859817505
3,3,amusing,-0.12074407935142517
3,3,very relaxing,-0.4443739354610443
3,3,distracted,0.06905128806829453
3,3,perfect,-0.2666512131690979
32,1,relaxed,-0.4319731295108795
32,1,relax,-0.42130178213119507
32,1,good,-0.2546485960483551
32,1,relax,-0.42130178213119507
17,2,good,-0.2546485960483551
17,2,comfortable,-0.4447886645793915
17,2,good,-0.2546485960483551
9,2,pleasant,-0.27579253911972046
9,2,relaxing,-0.46485188603401184
9,2,calm,-0.46901002526283264
9,2,relaxed,-0.4319731295108795
9,2,liked,-0.10416985303163528
9,2,good,-0.2546485960483551
9,2,pleasant,-0.27579253911972046
22,2,calm,-0.46901002526283264
22,2,tiresome,0.2251926064491272
22,2,comforting,-0.3197008967399597
22,2,good,-0.2546485960483551
22,2,monotonous,0.09061328321695328
22,2,comforting,-0.3197008967399597
22,2,calm,-0.46901002526283264
5,3,very_nervous,0.49621689319610596
5,3,extremely_nervous,0.5097240805625916
5,3,calm,-0.46901002526283264
5,3,less_anxious,-0.10547802597284317
5,3,comfortable,-0.4447886645793915
5,3,trust,-0.20520277321338654
5,3,calm,-0.46901002526283264
5,3,calmer,-0.3867941200733185
5,3,nervous,0.48523908853530884
1,3,very_nervous,0.49621689319610596
1,3,confident,-0.1589718759059906
1,3,nervous,0.48523908853530884
1,3,calm,-0.46901002526283264
1,3,bothered,0.4592539668083191
1,3,calm,-0.46901002526283264
1,3,less_anxious,-0.10547802597284317
20,1,relaxing,-0.46485188603401184
20,1,engaged,0.03427945077419281
20,1,relaxing,-0.46485188603401184
20,1,positive,-0.1933232694864273
26,1,relaxing,-0.46485188603401184
26,1,calm,-0.46901002526283264
26,1,relaxing,-0.46485188603401184
26,1,effective,-0.059331391006708145
26,1,peaceful,-0.4677843451499939
26,1,distracted,0.06905128806829453
45,1,liked,-0.10416985303163528
45,1,like,-0.10416985303163528
30,1,relaxing,-0.46485188603401184
30,1,calm,-0.46901002526283264
30,1,useful,-0.12080752104520798
30,1,relaxing,-0.46485188603401184
36,2,calm,-0.46901002526283264
36,2,engaged,0.03427945077419281
18,2,positive,-0.1933232694864273
31,3,excellent,-0.16109828650951385
31,3,engaged,0.03427945077419281
27,3,good,-0.2546485960483551
27,3,peaceful,-0.4677843451499939
6,3,nervous,0.48523908853530884
6,3,confident,-0.1589718759059906
6,3,peaceful,-0.4677843451499939
4,1,relaxing,-0.46485188603401184
4,1,liked,-0.10416985303163528
11,2,nervous,0.48523908853530884
11,2,some_anxiety,0.48429664969444275
11,2,calm,-0.46901002526283264
11,2,tune_out,-0.3293183743953705
16,3,relaxed,-0.4319731295108795
16,3,fine,-0.28992313146591187
21,2,valuable,0.014900638721883297
21,2,calm,-0.46901002526283264
21,2,calm,-0.46901002526283264
21,2,pleasant,-0.27579253911972046
21,2,distracted,0.06905128806829453
21,2,helpful,-0.232936292886734
21,2,relaxed,-0.4319731295108795
10,2,calming,-0.43402722477912903
10,2,relaxing,-0.46485188603401184
10,2,anxiety,0.49817124009132385
10,2,trust,-0.20520277321338654
10,2,distracted,0.06905128806829453
10,2,engaged,0.03427945077419281
13,1,calm,-0.46901002526283264
35,2,good,-0.2546485960483551
35,2,repetitive,0.11987318843603134
35,2,liked,-0.10416985303163528
