word,x_plot,y_plot,label_size,alpha
acceptable,-0.29280920088291174,0.03667828850189157,7.0,0.55
amusing,-0.18074407935142522,0.1982712488595576,7.0,0.55
anxiety,0.43817121028900147,-0.046024117988738455,7.0,0.55
bothered,0.39925396680831904,-0.1478583622749715,7.0,0.55
calm,-0.46901001532872516,-0.32161951065063477,11.0,0.9
calmer,-0.44679412007331853,-0.4086363870676427,7.0,0.55
calming,-0.494027224779129,-0.22034758738914434,7.0,0.55
comfortable,-0.5047886645793915,-0.0011015991913154513,7.0,0.55
comforting,-0.3797008967399597,0.18569385595878657,7.5,0.59375
confident,-0.12897187590599063,0.09180686082561468,7.5,0.59375
cool,-0.3819994902610779,0.148602809387055,7.0,0.55
distracted,0.06905128558476765,-0.18820899724960327,7.5,0.59375
effective,0.060668620169162746,0.2693561315536499,7.0,0.55
engaged,0.0342794507741928,-0.035878557711839655,8.0,0.6375000000000001
excellent,-0.2210982865095139,0.3402329128209681,7.0,0.55
extremely_nervous,0.4497240805625915,-0.20681143887599995,7.0,0.55
fine,-0.3499231314659119,0.15331393889823863,7.0,0.55
good,-0.2546485960483551,0.41850462555885315,10.5,0.85625
happy,-0.23933759093284604,0.45601883121093806,7.0,0.55
helpful,-0.292936292886734,0.4612250883158117,7.0,0.55
interesting,0.007794121801853203,0.4144777316625982,7.5,0.59375
less_anxious,-0.16547802597284322,-0.36358195133766225,7.5,0.59375
like,0.015830161869525905,0.44259828329086304,7.0,0.55
liked,-0.07416983813047408,0.4945598075179294,7.5,0.59375
little_worried,0.5182271254062653,-0.13853570818901062,7.0,0.55
monotonous,0.0306132832169533,-0.018591557068023123,7.0,0.55
nervous,0.42523910343647,-0.141865000128746,8.0,0.6375000000000001
peaceful,-0.4377843451499939,-0.17263223771135355,7.5,0.59375
perfect,-0.32665121316909795,0.09115551821628519,7.0,0.55
pleasant,-0.33579253911972046,0.4219286400850683,8.0,0.6375000000000001
positive,-0.1633232694864273,0.45246235821525604,7.5,0.59375
relax,-0.3013017523288727,-0.16352535784244537,8.0,0.6375000000000001
relaxed,-0.4319731295108795,-0.09568593651056288,8.5,0.68125
relaxing,-0.4348519158363342,-0.0873739292832181,10.5,0.85625
repetitive,0.05987319588661196,0.1062176743082523,7.0,0.55
serene,-0.3621753799915314,-0.1769963651895523,7.0,0.55
some_anxiety,0.42429664969444275,-0.03748707882801,7.0,0.55
tiresome,0.16519260644912723,0.11773602161815461,7.0,0.55
trust,-0.2652027732133866,0.10828323662281039,7.0,0.55
tune_out,-0.3893183743953705,-0.11272046379486028,7.5,0.59375
useful,-0.09080751359462737,0.4048615226535037,7.0,0.55
valuable,-0.045099362209439255,0.45594939179977473,7.0,0.55
very relaxing,-0.5043739354610444,-0.2771235663469701,7.0,0.55
very_nervous,0.4362169229984283,-0.22461964525541356,7.5,0.59375
zen,-0.24641111969947815,-0.11757604777812958,7.0,0.55
