word,x_plot,y_plot,total_frequency,label_size,alpha
acceptable,-27.388771591186522,-12.467324461418,1,7.0,0.55
amusing,-29.30802780151367,-0.5080864090498357,1,7.0,0.55
anxiety,28.14306205749512,7.85363694615921,1,7.0,0.55
bothered,29.309123458862306,2.2734506469194025,1,7.0,0.55
calm,-29.153086344401043,-2.5336829821268716,19,11.0,0.9
calmer,-29.314465103149413,-0.3127029646213918,1,7.0,0.55
calming,-29.264208374023436,4.025799717384186,1,7.0,0.55
comfortable,-29.271795806884764,3.846376657485962,2,7.0,0.55
comforting,-29.265909729003905,3.9766878742750555,2,7.5,0.59375
confident,-29.22271987915039,2.8156553676338953,3,7.5,0.59375
cool,-28.772316513061522,-6.609191213173065,1,7.0,0.55
distracted,-28.599042892456055,-7.534859339396159,4,7.5,0.59375
effective,-29.14609992980957,2.3988306522369385,1,7.0,0.55
engaged,-29.173311233520508,-2.1638729572296143,5,8.0,0.6375000000000001
excellent,-29.296499786376952,3.0722647052232355,1,7.0,0.55
extremely_nervous,29.31112045288086,2.2813363414231866,1,7.0,0.55
fine,-26.095446166992186,-14.694980825858918,1,7.0,0.55
good,-29.270687103271484,2.2599596977233887,10,10.5,0.85625
happy,-29.224581298828124,4.556130136924591,1,7.0,0.55
helpful,-25.295923767089842,-15.000007424873504,1,7.0,0.55
interesting,-27.677279052734374,-11.443685327095183,2,7.5,0.59375
less_anxious,-28.43105369567871,-8.965301718192903,2,7.5,0.59375
like,-28.86299789428711,-4.523512363433838,1,7.0,0.55
liked,-29.21934387207031,-0.16082211043556185,4,7.5,0.59375
little_worried,-26.352551345825194,-14.02135181427002,1,7.0,0.55
monotonous,27.44096321105957,-0.9336326461259454,1,7.0,0.55
nervous,28.93974536895752,5.760106325149536,4,8.0,0.6375000000000001
peaceful,-29.232117385864257,2.409951346180038,3,7.5,0.59375
perfect,-29.317909774780272,2.5738981109086603,1,7.0,0.55
pleasant,-29.330238876342772,0.7682343382414252,3,8.0,0.6375000000000001
positive,-29.217854232788085,-0.43511657621582,3,7.5,0.59375
relax,-29.07558525085449,4.126051902770996,3,8.0,0.6375000000000001
relaxed,-29.15359878540039,4.563891887664795,6,8.5,0.68125
relaxing,-29.032932968139647,5.355558497646255,10,10.5,0.85625
repetitive,29.14983123779297,1.9926783699568182,1,7.0,0.55
serene,-29.075806503295897,3.965752601623535,1,7.0,0.55
some_anxiety,27.226684036254884,8.696992124992219,1,7.0,0.55
tiresome,28.968152465820314,1.5152142900999457,1,7.0,0.55
trust,-28.957575378417967,-5.392825126647949,2,7.0,0.55
tune_out,-29.29808479309082,3.3446216244276434,2,7.5,0.59375
useful,-28.985506744384764,-4.1609529426308445,2,7.0,0.55
valuable,-29.224556503295897,-2.19639042429367,1,7.0,0.55
very relaxing,-29.191359100341796,4.637011800331268,1,7.0,0.55
very_nervous,29.275046768188478,2.1474526267472833,2,7.5,0.59375
zen,-27.988509063720702,-9.872725486755371,1,7.0,0.55
